type_id,building_group,dwelling_count_class,size_class,period_min,period_max,technology_class,external_wall_u_uninsulated_w_m2k,attic_ceiling_occurrence_pct,attic_ceiling_u_uninsulated_w_m2k,flat_roof_occurrence_pct,flat_roof_u_uninsulated_w_m2k,pitched_roof_occurrence_pct,pitched_roof_u_uninsulated_w_m2k,basement_ceiling_occurrence_pct,basement_ceiling_u_uninsulated_w_m2k,window_u_unreplaced_w_m2k,source_id,evidence_status
1,FAMILY_HOUSE,1_3,UNSPECIFIED,,,ADOBE_NO_FOUNDATION,1.12,100,1.08,1.2,0.48,2.4,1.03,2.4,1.85,3.18,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
2,FAMILY_HOUSE,1_3,UNSPECIFIED,,,ADOBE_WITH_FOUNDATION,1.13,98.6,1.01,0.5,0.18,1.4,0,10.4,1.15,3.05,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
3,FAMILY_HOUSE,1_3,UNSPECIFIED,,1944,MASONRY,1.33,92.7,1,7.3,0.72,12.2,0.94,33.3,1.21,3.01,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
4,FAMILY_HOUSE,1_3,UNSPECIFIED,1945,1959,MASONRY,1.32,94.3,0.93,3.8,3.07,11.4,0.65,27.6,1.15,2.98,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
5,FAMILY_HOUSE,1_3,LT120,1960,1979,MASONRY,1.26,94.2,1,2.9,1.48,9.9,0.42,29.2,1.31,2.83,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
6,FAMILY_HOUSE,1_3,GE120,1960,1979,MASONRY,1.21,84.1,0.92,15.9,0.99,39.7,0.32,36.5,1.29,2.61,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
7,FAMILY_HOUSE,1_3,LT120,1980,1989,MASONRY,1.1,90.5,0.96,4.3,2.12,31,0.35,37.1,1.22,2.68,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
8,FAMILY_HOUSE,1_3,GE120,1980,1989,MASONRY,1.01,90,0.51,23.3,1.01,75,0.41,65,0.96,2.4,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
9,FAMILY_HOUSE,1_3,LT120,1990,2005,MASONRY,0.62,92.5,0.44,6.5,0.46,35.5,0.29,21.5,0.86,1.81,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
10,FAMILY_HOUSE,1_3,GE120,1990,2005,MASONRY,0.52,88.2,0.38,13.2,0.7,76.5,0.3,29.4,0.68,1.98,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
